,Scar1,Scar2,cellCount1,cellCount2
245,1220:49M26S,13:46M6D29M,6,171
246,1220:49M26S,28:44M9D31M,6,99
247,1220:49M26S,370:46M6I23M,6,45
248,1220:49M26S,624:43M1I4M3D27M,6,59
249,1257:49M26S,13:46M6D29M,6,171
250,32:75M,3398:75M,157,1
251,32:75M,3385:75M,157,1
252,2256:34S41M,28:44M9D31M,1,99
253,2256:34S41M,361:50M7I18M,1,96
254,2256:34S41M,779:34S41M,1,78
255,1033:51M1I23M,20:45M14D30M,105,11
256,1033:51M1I23M,3183:46M29S,105,1
257,1033:51M1I23M,518:46M3D29M,105,1
258,1202:49M26S,20:45M14D30M,82,11
259,1202:49M26S,3183:46M29S,82,1
260,1202:49M26S,518:46M3D29M,82,1
261,13:46M6D29M,20:45M14D30M,171,11
262,13:46M6D29M,3183:46M29S,171,1
263,13:46M6D29M,518:46M3D29M,171,1
264,20:45M14D30M,3183:46M29S,11,1
265,20:45M14D30M,370:46M6I23M,11,45
266,20:45M14D30M,518:46M3D29M,11,1
267,20:45M14D30M,624:43M1I4M3D27M,11,59
268,3183:46M29S,370:46M6I23M,1,45
269,3183:46M29S,518:46M3D29M,1,1
270,3183:46M29S,624:43M1I4M3D27M,1,59
271,370:46M6I23M,518:46M3D29M,45,1
272,518:46M3D29M,624:43M1I4M3D27M,1,59
273,1033:51M1I23M,3190:46M6I23M,105,1
274,1202:49M26S,3190:46M6I23M,82,1
275,13:46M6D29M,3190:46M6I23M,171,1
276,28:44M9D31M,3190:46M6I23M,99,1
277,3190:46M6I23M,370:46M6I23M,1,45
278,3190:46M6I23M,624:43M1I4M3D27M,1,59
279,1466:44M31S,32:75M,53,157
280,361:50M7I18M,624:43M1I4M3D27M,96,59
281,2216:47M3D28M,46:46M2D29M,1,23
